3,300000e+01
6,100000e+01
8,500000e+01
1,040000e+02
1,230000e+02
1,400000e+02
1,550000e+02
1,690000e+02
1,820000e+02
1,930000e+02
2,040000e+02
2,140000e+02
2,230000e+02
2,320000e+02
2,400000e+02
2,480000e+02
2,560000e+02
2,630000e+02
2,690000e+02
2,760000e+02
2,820000e+02
2,870000e+02
2,930000e+02
2,980000e+02
3,040000e+02
3,080000e+02
3,130000e+02
3,180000e+02
3,220000e+02
3,270000e+02
3,310000e+02
3,350000e+02
3,390000e+02
3,430000e+02
3,460000e+02
3,500000e+02
3,530000e+02
3,570000e+02
3,600000e+02
3,630000e+02
3,670000e+02
3,700000e+02
3,730000e+02
3,760000e+02
3,790000e+02
3,810000e+02
3,840000e+02
3,870000e+02
3,890000e+02
3,920000e+02
